N,I,mean_quality,median_quality,p10_quality,success_rate,failure_rate,mean_tokens,median_tokens,p95_tokens,mean_agents,mean_reflections,feasible,fallback_utility,is_pareto
1,0,0.6800463442221432,0.6828068312412581,0.6043778069306012,0.6588888888888889,0.3411111111111111,814.4108084053129,813.1358824492003,897.3605812778493,1.0,0.0,False,0.6653869496708475,True
1,1,0.7513323994982749,0.7546802143191959,0.6813381412237645,0.9477777777777778,0.052222222222222225,1379.050326151578,1378.6829129077405,1493.1669214245596,1.0,1.0,False,0.7265094936275465,True
1,2,0.7808349652525268,0.7835749045645011,0.723139703176164,0.9922222222222222,0.0077777777777777776,2013.3612524620387,2009.873362494234,2171.619537144224,1.0,2.0,False,0.7445944627082102,False
1,3,0.7801584723781507,0.7823949993847505,0.7291453437453274,0.9977777777777778,0.0022222222222222222,2727.3006743060096,2720.516402979307,2942.385857902103,1.0,3.0,False,0.7310670602406426,False
1,4,0.748544560696713,0.7581014566321373,0.6615655263471923,0.9044444444444445,0.09555555555555556,3533.8313752911117,3526.0765736917783,3808.3394419235447,1.0,4.0,False,0.684935595941473,False
2,0,0.7893963617929288,0.7932407137143989,0.7332634168428719,0.9977777777777778,0.0022222222222222222,1723.8712163574883,1719.244402602776,1869.8210253870927,2.0,0.0,False,0.758366679898494,True
2,1,0.8314402161718929,0.8345328680101903,0.78693375420537,1.0,0.0,2359.090673822037,2350.129844640918,2539.7032076119344,2.0,1.0,False,0.7889765840430962,True
2,2,0.8314391861940091,0.833537177089617,0.7830238958079428,1.0,0.0,3073.949019346524,3064.876568561923,3305.5065314770463,2.0,2.0,False,0.7761081038457717,False
2,3,0.7937022803138181,0.8136994770997359,0.6828706861323885,0.9433333333333334,0.056666666666666664,3878.387804522829,3863.7692420818603,4169.339556813046,2.0,3.0,False,0.7238912998324072,False
2,4,0.7129999638158614,0.7600554101143591,0.510095068107998,0.6266666666666667,0.37333333333333335,4785.73484313107,4764.941093919626,5146.608455011605,2.0,4.0,False,0.6268567366395021,False
3,0,0.8285861627696952,0.8310698975260298,0.7831753629742155,1.0,0.0,2749.898720966066,2738.212126872138,2969.0077892453373,3.0,0.0,False,0.779087985792306,False
3,1,0.8394123033769779,0.844963989126688,0.7759313003143763,1.0,0.0,3465.7809666800804,3454.116662978555,3726.9737954473403,3.0,1.0,True,0.7770282459767365,True
3,2,0.8009397159192758,0.8278236219262272,0.6755737959301061,0.9266666666666666,0.07333333333333333,4271.255158820348,4255.722678905966,4576.399772264031,3.0,2.0,False,0.7240571230605095,False
