parameter,value
random_seed,73
train_requests,1200
test_requests,1800
teacher_context_windows,4096;8192;16384;32768
p_simple,0.44
p_medium,0.36
p_complex,0.2
quality_target,0.82
factuality_min,0.84
coverage_min,0.78
rag_direct_threshold,0.835
max_dynamic_agents,5
marginal_quality_per_1k_tokens,0.01
dynamic_predicted_quality_target,0.9
routing_noise_std,0.085
early_stop_min_agents,1
coordinator_system_tokens,320
router_system_tokens,280
router_output_tokens,150
decision_input_tokens,260
decision_output_tokens,90
synthesis_system_tokens,360
direct_rag_system_tokens,300
rag_agent_excerpt_max,950
rag_synthesis_excerpt_max,3600
output_tokens_simple,520
output_tokens_medium,920
output_tokens_complex,1450
price_input_per_million_usd,0.14
price_output_per_million_usd,0.28
quality_noise_std,0.012
max_cloud_tokens_per_query,60000
