request_id,complexity,z,query_tokens,answer_need_tokens,freshness_sensitive,rag_tokens,rag_confidence,requirement_json,rag_coverage_json
1000000,complex,0.9423358166673383,1168,1450,False,4896,0.3583243036378438,"[0.27827796076022504, 0.4755958823858818, 0.04601398579276713, 0.1515962692995997, 0.0, 0.04851590176152634]","[0.4631024225000931, 0.3987406657855475, 0.18723768647979644, 0.3651391468768738, 0.02639708556487136, 0.3878262417331167]"
1000001,medium,0.4529973196202194,514,920,False,3237,0.5366183542787022,"[0.4075706568734636, 0.3183953397883204, 0.0, 0.0, 0.2740340033382161, 0.0]","[0.43652431818336745, 0.44994064133945866, 0.17432976386574983, 0.14571081487995086, 0.9159812168051553, 0.18214103114833266]"
1000002,medium,0.46880603545317734,643,920,True,2942,0.568377979239377,"[0.0, 0.4940201636553352, 0.10310358976116031, 0.0, 0.4028762465835044, 0.0]","[0.17777410608604413, 0.5132827531894694, 0.7375915498359453, 0.181983557243964, 0.6898686906385858, 0.15679056838036723]"
1000003,medium,0.4651467426880438,520,920,False,2973,0.5891729071533716,"[0.39006453312751255, 0.34830843157456726, 0.0, 0.0, 0.0, 0.2616270352979203]","[0.5667480657663835, 0.5125247472636009, 0.21820837151871117, 0.16606237925883313, 0.19436136803325252, 0.5142032017167586]"
1000004,medium,0.5279824084052289,653,920,False,2560,0.4937351119692153,"[0.0, 0.3101514386574971, 0.0, 0.0, 0.0, 0.6898485613425028]","[0.17333986751199573, 0.4340325404253993, 0.20089690595386706, 0.1530636963729048, 0.22063232028502197, 0.48235408548589287]"
1000005,medium,0.6058478688235713,667,920,True,3114,0.574364818494876,"[0.0, 0.0, 0.29924225841294405, 0.6547309904040679, 0.0, 0.046026751182987956]","[0.12156455408940248, 0.17966979904109215, 0.5801734772496718, 0.5476029599450254, 0.16486688636829758, 0.45436310941490354]"
1000006,simple,0.2531939866284009,302,520,False,1504,0.9622802875987854,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.9187903810622798, 0.20700063465768093, 0.19917360814894802, 0.2642645060287743, 0.24376126934045073, 0.23748199193393604]"
1000007,medium,0.588227775725581,731,920,True,3170,0.6403003749317485,"[0.0971093375040536, 0.797077335539541, 0.0, 0.0, 0.0, 0.10581332695640538]","[0.38296231775606276, 0.6722669638677681, 0.13452121396286063, 0.19306793637008796, 0.13257054107094032, 0.5316572512534825]"
1000008,complex,0.7971475291958223,943,1450,False,4107,0.43147079748361505,"[0.0, 0.4808847617139248, 0.19177219111441474, 0.14414743665660282, 0.18319561051505745, 0.0]","[0.07388626687445261, 0.3492888061066265, 0.3337640186533152, 0.3299795988629969, 0.5966702295679942, 0.09937244249822937]"
1000009,medium,0.5931618879997161,719,920,False,2565,0.5448598310469862,"[0.0, 0.0, 0.041427023414328905, 0.9585729765856711, 0.0, 0.0]","[0.13190753132577987, 0.18825162740413875, 0.7145497267758865, 0.5588670085342092, 0.16266783122108444, 0.15776545266877542]"
